Channel Id,Channel Url,Channel Title
UCDEMOCHANNEL00000051,http://www.youtube.com/channel/UCDEMOCHANNEL00000051,Demo channel 051
UCDEMOCHANNEL00000067,http://www.youtube.com/channel/UCDEMOCHANNEL00000067,Demo channel 067
UCDEMOCHANNEL00000081,http://www.youtube.com/channel/UCDEMOCHANNEL00000081,Demo channel 081
UCDEMOCHANNEL00000027,http://www.youtube.com/channel/UCDEMOCHANNEL00000027,Demo channel 027
UCDEMOCHANNEL00000137,http://www.youtube.com/channel/UCDEMOCHANNEL00000137,Demo channel 137
UCDEMOCHANNEL00000105,http://www.youtube.com/channel/UCDEMOCHANNEL00000105,Demo channel 105
UCDEMOCHANNEL00000007,http://www.youtube.com/channel/UCDEMOCHANNEL00000007,Demo channel 007
UCDEMOCHANNEL00000162,http://www.youtube.com/channel/UCDEMOCHANNEL00000162,Demo channel 162
UCDEMOCHANNEL00000023,http://www.youtube.com/channel/UCDEMOCHANNEL00000023,Demo channel 023
UCDEMOCHANNEL00000171,http://www.youtube.com/channel/UCDEMOCHANNEL00000171,Demo channel 171
