Participant ID,time,watch_local_time,watch_local_date,watch_local_hour,time_of_day,is_daytime_watch,is_nighttime_watch,video_id,watched_title,clean_title,watch_action_prefix,watch_action_language_hint,url,donated_channel_title,donated_channel_url,donated_channel_id,metadata_title,metadata_channel,metadata_uploader,metadata_channel_id,analysis_channel_title,analysis_channel_id,duration_seconds,aspect_ratio,width,height,resolution,fps,shorts_metadata_available,is_short,is_long,is_short_by_metadata,view_count,like_count,comment_count,channel_follower_count,upload_date,metadata_timestamp,metadata_url,categories,tags,language,metadata_status,metadata_join_status,searched_for,has_search_history,seconds_since_prior_search,subscribed,has_subscription_history,has_metadata,has_duration,has_channel_id,metadata_error,generalized_error_msg,problematic_category,problematic_critical,problematic_assessment_label,is_problematic
Alma,2025-03-24 07:32:25.697000+00:00,2025-03-24 08:32:25.697000+01:00,2025-03-24,8,day,True,False,VID00000072,Watched Demo video 072,Demo video 072,Watched,English,https://www.youtube.com/watch?v=VID00000072,Demo channel 051,https://www.youtube.com/channel/UCDEMOCHANNEL00000051,UCDEMOCHANNEL00000051,Demo video 072,Demo channel 051,Demo channel 051,UCDEMOCHANNEL00000051,Demo channel 051,UCDEMOCHANNEL00000051,2349.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,71338.0,1019.0,176.0,6757.0,20200227,1582761600.0,https://www.youtube.com/watch?v=VID00000072,"[""Demo category""]","[""demo tag 057""]",en,ok,ok,False,True,,True,True,True,True,True,,No error,No error,,No error,False
Alma,2025-03-13 13:53:45.738000+00:00,2025-03-13 14:53:45.738000+01:00,2025-03-13,14,day,True,False,VID00000213,Watched Demo video 213,Demo video 213,Watched,English,https://www.youtube.com/watch?v=VID00000213,Demo channel 067,https://www.youtube.com/channel/UCDEMOCHANNEL00000067,UCDEMOCHANNEL00000067,Demo video 213,Demo channel 067,Demo channel 067,UCDEMOCHANNEL00000067,Demo channel 067,UCDEMOCHANNEL00000067,3004.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,213248.0,2974.0,521.0,18372.0,20200621,1592697600.0,https://www.youtube.com/watch?v=VID00000213,"[""Demo category""]","[""demo tag 172""]",en,ok,ok,True,True,2.0,True,True,True,True,True,,No error,No error,,No error,False
Alma,2025-02-04 21:01:38.803000+00:00,2025-02-04 22:01:38.803000+01:00,2025-02-04,22,day,True,False,VID00000051,Watched Demo video 051,Demo video 051,Watched,English,https://www.youtube.com/watch?v=VID00000051,Demo channel 081,https://www.youtube.com/channel/UCDEMOCHANNEL00000081,UCDEMOCHANNEL00000081,Demo video 051,Demo channel 081,Demo channel 081,UCDEMOCHANNEL00000081,Demo channel 081,UCDEMOCHANNEL00000081,1868.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,55296.0,798.0,137.0,5444.0,20200214,1581638400.0,https://www.youtube.com/watch?v=VID00000051,"[""Demo category""]","[""demo tag 044""]",en,ok,ok,False,True,,True,True,True,True,True,,No error,No error,,No error,False
Alma,2025-01-30 11:00:54.583000+00:00,2025-01-30 12:00:54.583000+01:00,2025-01-30,12,day,True,False,VID00000122,Watched Demo video 122,Demo video 122,Watched,English,https://www.youtube.com/watch?v=VID00000122,Demo channel 027,https://www.youtube.com/channel/UCDEMOCHANNEL00000027,UCDEMOCHANNEL00000027,Demo video 122,Demo channel 027,Demo channel 027,UCDEMOCHANNEL00000027,Demo channel 027,UCDEMOCHANNEL00000027,303.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,123166.0,1733.0,302.0,10999.0,20200409,1586390400.0,https://www.youtube.com/watch?v=VID00000122,"[""Demo category""]","[""demo tag 099""]",en,ok,ok,False,True,,True,True,True,True,True,,No error,No error,,No error,False
Alma,2024-12-13 07:07:08.189000+00:00,2024-12-13 08:07:08.189000+01:00,2024-12-13,8,day,True,False,VID00000157,Watched Demo video 157,Demo video 157,Watched,English,https://www.youtube.com/watch?v=VID00000157,Demo channel 137,https://www.youtube.com/channel/UCDEMOCHANNEL00000137,UCDEMOCHANNEL00000137,Demo video 157,Demo channel 137,Demo channel 137,UCDEMOCHANNEL00000137,Demo channel 137,UCDEMOCHANNEL00000137,1413.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,160186.0,2243.0,392.0,14029.0,20200509,1588982400.0,https://www.youtube.com/watch?v=VID00000157,"[""Demo category""]","[""demo tag 129""]",en,ok,ok,False,True,,True,True,True,True,True,,No error,No error,,No error,False
Alma,2024-11-18 21:16:12.824000+00:00,2024-11-18 22:16:12.824000+01:00,2024-11-18,22,day,True,False,VID00000264,Watched Demo video 264,Demo video 264,Watched,English,https://www.youtube.com/watch?v=VID00000264,Demo channel 105,https://www.youtube.com/channel/UCDEMOCHANNEL00000105,UCDEMOCHANNEL00000105,Demo video 264,Demo channel 105,Demo channel 105,UCDEMOCHANNEL00000105,Demo channel 105,UCDEMOCHANNEL00000105,1106.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,270012.0,3756.0,659.0,23018.0,20200806,1596672000.0,https://www.youtube.com/watch?v=VID00000264,"[""Demo category""]","[""demo tag 218""]",en,ok,ok,False,True,,True,True,True,True,True,,No error,No error,,No error,False
Alma,2024-11-18 11:53:00.638000+00:00,2024-11-18 12:53:00.638000+01:00,2024-11-18,12,day,True,False,VID00000233,Watched Demo video 233,Demo video 233,Watched,English,https://www.youtube.com/watch?v=VID00000233,Demo channel 007,https://www.youtube.com/channel/UCDEMOCHANNEL00000007,UCDEMOCHANNEL00000007,Demo video 233,Demo channel 007,Demo channel 007,UCDEMOCHANNEL00000007,Demo channel 007,UCDEMOCHANNEL00000007,3633.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,234226.0,3263.0,572.0,20089.0,20200708,1594166400.0,https://www.youtube.com/watch?v=VID00000233,"[""Demo category""]","[""demo tag 189""]",en,ok,ok,False,True,,True,True,True,True,True,,No error,No error,,No error,False
Alma,2024-11-18 11:39:28.361000+00:00,2024-11-18 12:39:28.361000+01:00,2024-11-18,12,day,True,False,VID00000110,Watched Demo video 110,Demo video 110,Watched,English,https://www.youtube.com/watch?v=VID00000110,Demo channel 007,https://www.youtube.com/channel/UCDEMOCHANNEL00000007,UCDEMOCHANNEL00000007,Demo video 110,Demo channel 007,Demo channel 007,UCDEMOCHANNEL00000007,Demo channel 007,UCDEMOCHANNEL00000007,3570.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,112060.0,1580.0,275.0,10090.0,20200331,1585612800.0,https://www.youtube.com/watch?v=VID00000110,"[""Demo category""]","[""demo tag 090""]",en,ok,ok,False,True,,True,True,True,True,True,,No error,No error,,No error,False
Alma,2024-11-10 11:16:26.506000+00:00,2024-11-10 12:16:26.506000+01:00,2024-11-10,12,day,True,False,VID00000270,Watched Demo video 270,Demo video 270,Watched,English,https://www.youtube.com/watch?v=VID00000270,Demo channel 162,https://www.youtube.com/channel/UCDEMOCHANNEL00000162,UCDEMOCHANNEL00000162,Demo video 270,Demo channel 162,Demo channel 162,UCDEMOCHANNEL00000162,Demo channel 162,UCDEMOCHANNEL00000162,1217.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,273714.0,3807.0,668.0,23321.0,20200809,1596931200.0,https://www.youtube.com/watch?v=VID00000270,"[""Demo category""]","[""demo tag 221""]",en,ok,ok,False,True,,True,True,True,True,True,,No error,No error,,No error,False
Alma,2024-10-30 21:54:50.417000+00:00,2024-10-30 22:54:50.417000+01:00,2024-10-30,22,day,True,False,VID00000018,Watched Demo video 018,Demo video 018,Watched,English,https://www.youtube.com/watch?v=VID00000018,Demo channel 023,https://www.youtube.com/channel/UCDEMOCHANNEL00000023,UCDEMOCHANNEL00000023,Demo video 018,Demo channel 023,Demo channel 023,UCDEMOCHANNEL00000023,Demo channel 023,UCDEMOCHANNEL00000023,47.0,0.56,1080.0,1920.0,1080x1920,30.0,True,False,True,False,21978.0,339.0,56.0,2717.0,20200118,1579305600.0,https://www.youtube.com/watch?v=VID00000018,"[""Demo category""]","[""demo tag 017""]",en,ok,ok,False,True,,True,True,True,True,True,,No error,No error,,No error,False
