Participant ID,time,watch_local_time,watch_local_date,watch_local_hour,time_of_day,is_daytime_watch,is_nighttime_watch,video_id,watched_title,clean_title,watch_action_prefix,watch_action_language_hint,url,donated_channel_title,donated_channel_url,donated_channel_id,metadata_title,metadata_channel,metadata_uploader,metadata_channel_id,analysis_channel_title,analysis_channel_id,duration_seconds,aspect_ratio,width,height,resolution,fps,shorts_metadata_available,is_short,is_long,is_short_by_metadata,view_count,like_count,comment_count,channel_follower_count,upload_date,metadata_timestamp,metadata_url,categories,tags,language,metadata_status,metadata_join_status,searched_for,has_search_history,seconds_since_prior_search,subscribed,has_subscription_history,has_metadata,has_duration,has_channel_id,metadata_error,generalized_error_msg,problematic_category,problematic_critical,problematic_assessment_label,is_problematic,watch_event_position,participant_event_number,next_watch_time,seconds_to_next_watch,expected_end_time,estimated_watch_seconds,overlap_with_next_seconds,estimated_watch_minutes,estimated_watch_hours,watchtime_status
Alma,2015-03-30 13:56:42.847000+00:00,2015-03-30 15:56:42.847000+02:00,2015-03-30,15,day,True,False,VID00000189,Watched Demo video 189,Demo video 189,Watched,English,https://www.youtube.com/watch?v=VID00000189,Demo channel 180,https://www.youtube.com/channel/UCDEMOCHANNEL00000180,UCDEMOCHANNEL00000180,Demo video 189,Demo channel 180,Demo channel 180,UCDEMOCHANNEL00000180,Demo channel 180,UCDEMOCHANNEL00000180,2338.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,191036.0,2668.0,467.0,16554.0,20200603.0,1591142400.0,https://www.youtube.com/watch?v=VID00000189,"[""Demo category""]","[""demo tag 154""]",en,ok,ok,False,True,,False,True,True,True,True,,No error,No error,,No error,False,89,1,2015-04-21 15:08:25.529000+00:00,1905102.682,2015-03-30 14:35:40.847000+00:00,2338.0,0.0,38.96666666666667,0.6494444444444445,full_duration_before_next_watch
Alma,2015-04-21 15:08:25.529000+00:00,2015-04-21 17:08:25.529000+02:00,2015-04-21,17,day,True,False,VID00000292,Watched Demo video 292,Demo video 292,Watched,English,https://www.youtube.com/watch?v=VID00000292,Demo channel 141,https://www.youtube.com/channel/UCDEMOCHANNEL00000141,UCDEMOCHANNEL00000141,Demo video 292,Demo channel 141,Demo channel 141,UCDEMOCHANNEL00000141,Demo channel 141,UCDEMOCHANNEL00000141,1883.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,295926.0,4113.0,722.0,25139.0,20200827.0,1598486400.0,https://www.youtube.com/watch?v=VID00000292,"[""Demo category""]","[""demo tag 239""]",en,ok,ok,True,True,17.0,False,True,True,True,True,,No error,No error,,No error,False,88,2,2015-04-21 18:20:17.245000+00:00,11511.716,2015-04-21 15:39:48.529000+00:00,1883.0,0.0,31.383333333333333,0.5230555555555556,full_duration_before_next_watch
Alma,2015-04-21 18:20:17.245000+00:00,2015-04-21 20:20:17.245000+02:00,2015-04-21,20,day,True,False,VID00000104,Watched Demo video 104,Demo video 104,Watched,English,https://www.youtube.com/watch?v=VID00000104,Demo channel 173,https://www.youtube.com/channel/UCDEMOCHANNEL00000173,UCDEMOCHANNEL00000173,Demo video 104,Demo channel 173,Demo channel 173,UCDEMOCHANNEL00000173,Demo channel 173,UCDEMOCHANNEL00000173,3422.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,107124.0,1512.0,263.0,9686.0,20200327.0,1585267200.0,https://www.youtube.com/watch?v=VID00000104,"[""Demo category""]","[""demo tag 086""]",en,ok,ok,False,True,,False,True,True,True,True,,No error,No error,,No error,False,87,3,2015-04-21 23:04:21.338000+00:00,17044.093,2015-04-21 19:17:19.245000+00:00,3422.0,0.0,57.03333333333333,0.9505555555555556,full_duration_before_next_watch
Alma,2015-04-21 23:04:21.338000+00:00,2015-04-22 01:04:21.338000+02:00,2015-04-22,1,night,False,True,VID00000042,Watched Demo video 042,Demo video 042,Watched,English,https://www.youtube.com/watch?v=VID00000042,Demo channel 158,https://www.youtube.com/channel/UCDEMOCHANNEL00000158,UCDEMOCHANNEL00000158,Demo video 042,Demo channel 158,Demo channel 158,UCDEMOCHANNEL00000158,Demo channel 158,UCDEMOCHANNEL00000158,1609.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,46658.0,679.0,116.0,4737.0,20200207.0,1581033600.0,https://www.youtube.com/watch?v=VID00000042,"[""Demo category""]","[""demo tag 037""]",en,ok,ok,False,True,,False,True,True,True,True,,No error,No error,,No error,False,86,4,2015-05-03 20:42:39.900000+00:00,1028298.562,2015-04-21 23:31:10.338000+00:00,1609.0,0.0,26.816666666666666,0.4469444444444444,full_duration_before_next_watch
Alma,2015-05-03 20:42:39.900000+00:00,2015-05-03 22:42:39.900000+02:00,2015-05-03,22,day,True,False,VID00000160,Watched Demo video 160,Demo video 160,Watched,English,https://www.youtube.com/watch?v=VID00000160,Demo channel 084,https://www.youtube.com/channel/UCDEMOCHANNEL00000084,UCDEMOCHANNEL00000084,Demo video 160,Demo channel 084,Demo channel 084,UCDEMOCHANNEL00000084,Demo channel 084,UCDEMOCHANNEL00000084,1524.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,163888.0,2294.0,401.0,14332.0,20200512.0,1589241600.0,https://www.youtube.com/watch?v=VID00000160,"[""Demo category""]","[""demo tag 132""]",en,ok,ok,False,True,,False,True,True,True,True,,No error,No error,,No error,False,85,5,2015-05-04 18:04:39.581000+00:00,76919.681,2015-05-03 21:08:03.900000+00:00,1524.0,0.0,25.4,0.42333333333333334,full_duration_before_next_watch
Alma,2015-05-04 18:04:39.581000+00:00,2015-05-04 20:04:39.581000+02:00,2015-05-04,20,day,True,False,VID00000119,Watched Demo video 119,Demo video 119,Watched,English,https://www.youtube.com/watch?v=VID00000119,Demo channel 121,https://www.youtube.com/channel/UCDEMOCHANNEL00000121,UCDEMOCHANNEL00000121,Demo video 119,Demo channel 121,Demo channel 121,UCDEMOCHANNEL00000121,Demo channel 121,UCDEMOCHANNEL00000121,266.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,121932.0,1716.0,299.0,10898.0,20200408.0,1586304000.0,https://www.youtube.com/watch?v=VID00000119,"[""Demo category""]","[""demo tag 098""]",en,ok,ok,False,True,,False,True,True,True,True,,No error,No error,,No error,False,84,6,2015-05-06 03:37:58.807000+00:00,120799.226,2015-05-04 18:09:05.581000+00:00,266.0,0.0,4.433333333333334,0.07388888888888889,full_duration_before_next_watch
Alma,2015-05-06 03:37:58.807000+00:00,2015-05-06 05:37:58.807000+02:00,2015-05-06,5,night,False,True,VID00000094,Watched Demo video 094,Demo video 094,Watched,English,https://www.youtube.com/watch?v=VID00000094,Demo channel 145,https://www.youtube.com/channel/UCDEMOCHANNEL00000145,UCDEMOCHANNEL00000145,Demo video 094,Demo channel 145,Demo channel 145,UCDEMOCHANNEL00000145,Demo channel 145,UCDEMOCHANNEL00000145,3126.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,97252.0,1376.0,239.0,8878.0,20200319.0,1584576000.0,https://www.youtube.com/watch?v=VID00000094,"[""Demo category""]","[""demo tag 078""]",en,ok,ok,True,True,52.0,False,True,True,True,True,,No error,No error,,No error,False,83,7,2015-05-14 18:38:27.631000+00:00,745228.824,2015-05-06 04:30:04.807000+00:00,3126.0,0.0,52.1,0.8683333333333333,full_duration_before_next_watch
Alma,2015-05-14 18:38:27.631000+00:00,2015-05-14 20:38:27.631000+02:00,2015-05-14,20,day,True,False,VID00000012,Watched Demo video 012,Demo video 012,Watched,English,https://www.youtube.com/watch?v=VID00000012,Demo channel 056,https://www.youtube.com/channel/UCDEMOCHANNEL00000056,UCDEMOCHANNEL00000056,Demo video 012,Demo channel 056,Demo channel 056,UCDEMOCHANNEL00000056,Demo channel 056,UCDEMOCHANNEL00000056,647.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,14574.0,237.0,38.0,2111.0,20200112.0,1578787200.0,https://www.youtube.com/watch?v=VID00000012,"[""Demo category""]","[""demo tag 011""]",en,ok,ok,True,True,54.0,False,True,True,True,True,,No error,No error,,No error,False,82,8,2015-05-18 08:50:12.792000+00:00,310305.161,2015-05-14 18:49:14.631000+00:00,647.0,0.0,10.783333333333333,0.17972222222222223,full_duration_before_next_watch
Alma,2015-05-18 08:50:12.792000+00:00,2015-05-18 10:50:12.792000+02:00,2015-05-18,10,day,True,False,VID00000129,Watched Demo video 129,Demo video 129,Watched,English,https://www.youtube.com/watch?v=VID00000129,Demo channel 084,https://www.youtube.com/channel/UCDEMOCHANNEL00000084,UCDEMOCHANNEL00000084,Demo video 129,Demo channel 084,Demo channel 084,UCDEMOCHANNEL00000084,Demo channel 084,UCDEMOCHANNEL00000084,562.0,1.78,1920.0,1080.0,1920x1080,30.0,True,False,True,False,131804.0,1852.0,323.0,11706.0,20200416.0,1586995200.0,https://www.youtube.com/watch?v=VID00000129,"[""Demo category""]","[""demo tag 106""]",en,ok,ok,False,True,,False,True,True,True,True,,No error,No error,,No error,False,81,9,2015-05-28 09:08:32.087000+00:00,865099.295,2015-05-18 08:59:34.792000+00:00,562.0,0.0,9.366666666666667,0.15611111111111112,full_duration_before_next_watch
Alma,2015-05-28 09:08:32.087000+00:00,2015-05-28 11:08:32.087000+02:00,2015-05-28,11,day,True,False,VID00000290,Watched Demo video 290,Demo video 290,Watched,English,https://www.youtube.com/watch?v=VID00000290,,,,,,,,,,,,,,,,False,False,True,False,,,,,,,,,,,error,metadata_error,False,True,,,True,True,False,False,ERROR: [youtube] VID00000290: Video unavailable,Video unavailable,unavailable,N,Not problematic,False,80,10,2015-05-28 09:25:36.357000+00:00,1024.27,,,,,,missing_duration
