Channel Id,Channel Url,Channel Title
UCDEMOCHANNEL00000051,http://www.youtube.com/channel/UCDEMOCHANNEL00000051,Demo channel 051
UCDEMOCHANNEL00000050,http://www.youtube.com/channel/UCDEMOCHANNEL00000050,Demo channel 050
UCDEMOCHANNEL00000155,http://www.youtube.com/channel/UCDEMOCHANNEL00000155,Demo channel 155
UCDEMOCHANNEL00000123,http://www.youtube.com/channel/UCDEMOCHANNEL00000123,Demo channel 123
UCDEMOCHANNEL00000046,http://www.youtube.com/channel/UCDEMOCHANNEL00000046,Demo channel 046
UCDEMOCHANNEL00000006,http://www.youtube.com/channel/UCDEMOCHANNEL00000006,Demo channel 006
UCDEMOCHANNEL00000125,http://www.youtube.com/channel/UCDEMOCHANNEL00000125,Demo channel 125
UCDEMOCHANNEL00000008,http://www.youtube.com/channel/UCDEMOCHANNEL00000008,Demo channel 008
UCDEMOCHANNEL00000159,http://www.youtube.com/channel/UCDEMOCHANNEL00000159,Demo channel 159
UCDEMOCHANNEL00000080,http://www.youtube.com/channel/UCDEMOCHANNEL00000080,Demo channel 080
